state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,453
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),22
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),17
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),91
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),107
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),54
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",162
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"512,172"
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,131"
NORTH DAKOTA,38,ROLETTE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,441
NORTH DAKOTA,38,ROLETTE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,447,711"
NORTH DAKOTA,38,ROLETTE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,280"
NORTH DAKOTA,38,ROLETTE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"148,215,000"
NORTH DAKOTA,38,ROLETTE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"327,186"
