state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,501
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),52
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),100
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),109
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),60
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",169
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"548,088"
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,094"
NORTH DAKOTA,38,SARGENT,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,450
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,049,460"
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,787"
NORTH DAKOTA,38,SARGENT,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"200,127,000"
NORTH DAKOTA,38,SARGENT,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"399,455"
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,472
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, CROPLAND - ACRES",,"489,203"
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,322
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"427,772"
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,27
NORTH DAKOTA,38,SARGENT,081,AG LAND,"AG LAND, IRRIGATED - ACRES",,"16,773"
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"214,144,000"
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"427,433"
NORTH DAKOTA,38,SARGENT,081,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"188,725,000"
NORTH DAKOTA,38,SARGENT,081,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"25,419,000"
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",185
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",8
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",8
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",22
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",25
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",25
NORTH DAKOTA,38,SARGENT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",228
NORTH DAKOTA,38,SARGENT,081,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,396
NORTH DAKOTA,38,SARGENT,081,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,981,000"
NORTH DAKOTA,38,SARGENT,081,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,366
NORTH DAKOTA,38,SARGENT,081,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"15,827,000"
NORTH DAKOTA,38,SARGENT,081,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"177,647,000"
NORTH DAKOTA,38,SARGENT,081,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"354,585"
NORTH DAKOTA,38,SARGENT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,501
NORTH DAKOTA,38,SARGENT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"58,305,000"
NORTH DAKOTA,38,SARGENT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"116,377"
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,104
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"23,617"
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,94
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,3
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,89
NORTH DAKOTA,38,SARGENT,081,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"11,852"
NORTH DAKOTA,38,SARGENT,081,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
NORTH DAKOTA,38,SARGENT,081,HOGS,HOGS - INVENTORY,,(D)
NORTH DAKOTA,38,SARGENT,081,HOGS,HOGS - OPERATIONS WITH SALES,,4
NORTH DAKOTA,38,SARGENT,081,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
NORTH DAKOTA,38,SARGENT,081,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,8
NORTH DAKOTA,38,SARGENT,081,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,757
NORTH DAKOTA,38,SARGENT,081,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,4
NORTH DAKOTA,38,SARGENT,081,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,92
NORTH DAKOTA,38,SARGENT,081,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
NORTH DAKOTA,38,SARGENT,081,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,206
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, GRAIN - ACRES HARVESTED",,"162,661"
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"27,323,896"
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,10
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, SILAGE - ACRES HARVESTED",,"1,263"
NORTH DAKOTA,38,SARGENT,081,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"24,207"
NORTH DAKOTA,38,SARGENT,081,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,88
NORTH DAKOTA,38,SARGENT,081,WHEAT,WHEAT - ACRES HARVESTED,,"18,987"
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,131,141"
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,1
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,87
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,SARGENT,081,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,SARGENT,081,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,1
NORTH DAKOTA,38,SARGENT,081,OATS,OATS - ACRES HARVESTED,,(D)
NORTH DAKOTA,38,SARGENT,081,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,SARGENT,081,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,8
NORTH DAKOTA,38,SARGENT,081,BARLEY,BARLEY - ACRES HARVESTED,,"3,372"
