state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,260
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),6
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),25
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),63
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),24
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",142
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"551,381"
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,121"
NORTH DAKOTA,38,SHERIDAN,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,245"
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,328,439"
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,098"
NORTH DAKOTA,38,SHERIDAN,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"81,831,000"
NORTH DAKOTA,38,SHERIDAN,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"314,736"
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,238
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, CROPLAND - ACRES",,"397,900"
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,193
NORTH DAKOTA,38,SHERIDAN,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"347,936"
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"92,044,000"
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"354,016"
NORTH DAKOTA,38,SHERIDAN,083,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"73,788,000"
NORTH DAKOTA,38,SHERIDAN,083,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"18,256,000"
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",68
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",5
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",4
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",20
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",14
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",18
NORTH DAKOTA,38,SHERIDAN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",131
NORTH DAKOTA,38,SHERIDAN,083,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,209
NORTH DAKOTA,38,SHERIDAN,083,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,366,000"
NORTH DAKOTA,38,SHERIDAN,083,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,172
NORTH DAKOTA,38,SHERIDAN,083,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,340,000"
NORTH DAKOTA,38,SHERIDAN,083,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"71,760,000"
NORTH DAKOTA,38,SHERIDAN,083,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"276,000"
NORTH DAKOTA,38,SHERIDAN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,260
NORTH DAKOTA,38,SHERIDAN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"29,990,000"
NORTH DAKOTA,38,SHERIDAN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"115,347"
NORTH DAKOTA,38,SHERIDAN,083,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,112
NORTH DAKOTA,38,SHERIDAN,083,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"30,703"
NORTH DAKOTA,38,SHERIDAN,083,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,106
NORTH DAKOTA,38,SHERIDAN,083,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"16,085"
