state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,215
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),1
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),34
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),40
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),23
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",116
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"727,694"
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,385"
NORTH DAKOTA,38,SLOPE,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,575"
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,579,166"
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,057"
NORTH DAKOTA,38,SLOPE,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"89,908,000"
NORTH DAKOTA,38,SLOPE,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"418,177"
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,198
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, CROPLAND - ACRES",,"286,479"
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,147
NORTH DAKOTA,38,SLOPE,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"202,552"
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"47,904,000"
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"222,808"
NORTH DAKOTA,38,SLOPE,087,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"19,787,000"
NORTH DAKOTA,38,SLOPE,087,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"28,117,000"
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",51
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",14
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",13
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",15
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",8
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",18
NORTH DAKOTA,38,SLOPE,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",96
NORTH DAKOTA,38,SLOPE,087,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,180
NORTH DAKOTA,38,SLOPE,087,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,683,000"
NORTH DAKOTA,38,SLOPE,087,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,161
NORTH DAKOTA,38,SLOPE,087,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"9,148,000"
NORTH DAKOTA,38,SLOPE,087,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"49,260,000"
