state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,678
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),24
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),110
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),116
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),167
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),60
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",201
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"735,504"
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,085"
NORTH DAKOTA,38,STARK,089,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,310
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,444,094"
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,331"
NORTH DAKOTA,38,STARK,089,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"150,637,000"
NORTH DAKOTA,38,STARK,089,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"222,178"
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,542
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, CROPLAND - ACRES",,"493,631"
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,434
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"401,715"
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,22
NORTH DAKOTA,38,STARK,089,AG LAND,"AG LAND, IRRIGATED - ACRES",,476
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"68,476,000"
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"100,996"
NORTH DAKOTA,38,STARK,089,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"43,552,000"
NORTH DAKOTA,38,STARK,089,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"24,924,000"
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",230
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",44
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",40
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",76
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",63
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",50
NORTH DAKOTA,38,STARK,089,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",175
NORTH DAKOTA,38,STARK,089,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,404
NORTH DAKOTA,38,STARK,089,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,576,000"
NORTH DAKOTA,38,STARK,089,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,426
NORTH DAKOTA,38,STARK,089,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"16,081,000"
NORTH DAKOTA,38,STARK,089,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"79,808,000"
NORTH DAKOTA,38,STARK,089,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"117,711"
