state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,358
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),46
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),80
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),50
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",133
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"421,219"
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,177"
NORTH DAKOTA,38,STEELE,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,362
NORTH DAKOTA,38,STEELE,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,584,785"
NORTH DAKOTA,38,STEELE,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,197"
NORTH DAKOTA,38,STEELE,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"187,972,000"
NORTH DAKOTA,38,STEELE,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"525,062"
NORTH DAKOTA,38,STEELE,091,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,328
NORTH DAKOTA,38,STEELE,091,AG LAND,"AG LAND, CROPLAND - ACRES",,"398,585"
NORTH DAKOTA,38,STEELE,091,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,214
