state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,939
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),33
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),85
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),170
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),167
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),130
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",354
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,315,703"
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,401"
NORTH DAKOTA,38,STUTSMAN,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,520
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,808,671"
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,005"
NORTH DAKOTA,38,STUTSMAN,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"347,531,000"
NORTH DAKOTA,38,STUTSMAN,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"370,108"
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,829
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, CROPLAND - ACRES",,"1,048,238"
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,682
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"937,500"
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
NORTH DAKOTA,38,STUTSMAN,093,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,209"
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"335,625,000"
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"357,428"
NORTH DAKOTA,38,STUTSMAN,093,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"286,065,000"
NORTH DAKOTA,38,STUTSMAN,093,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"49,560,000"
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",244
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",36
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",53
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",72
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",68
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",59
NORTH DAKOTA,38,STUTSMAN,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",407
NORTH DAKOTA,38,STUTSMAN,093,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,702
NORTH DAKOTA,38,STUTSMAN,093,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"10,869,000"
NORTH DAKOTA,38,STUTSMAN,093,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,666
NORTH DAKOTA,38,STUTSMAN,093,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"25,148,000"
NORTH DAKOTA,38,STUTSMAN,093,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"273,435,000"
NORTH DAKOTA,38,STUTSMAN,093,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"291,198"
NORTH DAKOTA,38,STUTSMAN,093,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,939
NORTH DAKOTA,38,STUTSMAN,093,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"98,208,000"
NORTH DAKOTA,38,STUTSMAN,093,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"104,588"
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,345
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"70,314"
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,300
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"31,623"
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,3
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"1,469"
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,323
NORTH DAKOTA,38,STUTSMAN,093,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"37,471"
NORTH DAKOTA,38,STUTSMAN,093,HOGS,HOGS - OPERATIONS WITH INVENTORY,,12
NORTH DAKOTA,38,STUTSMAN,093,HOGS,HOGS - INVENTORY,,258
NORTH DAKOTA,38,STUTSMAN,093,HOGS,HOGS - OPERATIONS WITH SALES,,13
NORTH DAKOTA,38,STUTSMAN,093,HOGS,"HOGS - SALES, MEASURED IN HEAD",,344
NORTH DAKOTA,38,STUTSMAN,093,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,24
NORTH DAKOTA,38,STUTSMAN,093,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,845"
NORTH DAKOTA,38,STUTSMAN,093,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,32
NORTH DAKOTA,38,STUTSMAN,093,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,759
NORTH DAKOTA,38,STUTSMAN,093,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
NORTH DAKOTA,38,STUTSMAN,093,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,293
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, GRAIN - ACRES HARVESTED",,"216,020"
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"30,267,908"
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,49
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, SILAGE - ACRES HARVESTED",,"4,294"
NORTH DAKOTA,38,STUTSMAN,093,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"70,838"
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,227
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,WHEAT - ACRES HARVESTED,,"98,003"
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"4,679,578"
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,23
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,207
NORTH DAKOTA,38,STUTSMAN,093,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"90,815"
