state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,454
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),30
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),77
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),64
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",201
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"630,795"
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,389"
NORTH DAKOTA,38,TOWNER,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,855
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,923,869"
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,385"
NORTH DAKOTA,38,TOWNER,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"181,257,000"
NORTH DAKOTA,38,TOWNER,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"399,244"
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,429
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, CROPLAND - ACRES",,"552,379"
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,299
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"463,782"
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"166,148,000"
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"365,965"
NORTH DAKOTA,38,TOWNER,095,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"140,915,000"
NORTH DAKOTA,38,TOWNER,095,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"25,233,000"
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",152
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",12
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",7
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",12
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",22
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",15
NORTH DAKOTA,38,TOWNER,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",234
NORTH DAKOTA,38,TOWNER,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,387
NORTH DAKOTA,38,TOWNER,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"14,647,000"
NORTH DAKOTA,38,TOWNER,095,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,324
NORTH DAKOTA,38,TOWNER,095,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"14,756,000"
NORTH DAKOTA,38,TOWNER,095,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"127,466,000"
NORTH DAKOTA,38,TOWNER,095,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"280,761"
NORTH DAKOTA,38,TOWNER,095,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,454
NORTH DAKOTA,38,TOWNER,095,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"68,085,000"
NORTH DAKOTA,38,TOWNER,095,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"149,967"
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,81
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"9,235"
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,80
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"5,621"
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,80
NORTH DAKOTA,38,TOWNER,095,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"4,956"
NORTH DAKOTA,38,TOWNER,095,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
NORTH DAKOTA,38,TOWNER,095,HOGS,HOGS - INVENTORY,,"36,015"
NORTH DAKOTA,38,TOWNER,095,HOGS,HOGS - OPERATIONS WITH SALES,,5
NORTH DAKOTA,38,TOWNER,095,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"220,397"
NORTH DAKOTA,38,TOWNER,095,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,3
NORTH DAKOTA,38,TOWNER,095,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,144
NORTH DAKOTA,38,TOWNER,095,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,5
NORTH DAKOTA,38,TOWNER,095,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,170
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,49
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, GRAIN - ACRES HARVESTED",,"18,219"
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"2,014,676"
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,16
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, SILAGE - ACRES HARVESTED",,939
NORTH DAKOTA,38,TOWNER,095,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"17,597"
NORTH DAKOTA,38,TOWNER,095,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,229
NORTH DAKOTA,38,TOWNER,095,WHEAT,WHEAT - ACRES HARVESTED,,"167,952"
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"9,443,108"
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,21
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,221
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"156,710"
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"8,948,610"
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,2
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,TOWNER,095,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
NORTH DAKOTA,38,TOWNER,095,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,4
NORTH DAKOTA,38,TOWNER,095,OATS,OATS - ACRES HARVESTED,,120
NORTH DAKOTA,38,TOWNER,095,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"7,200"
NORTH DAKOTA,38,TOWNER,095,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,33
NORTH DAKOTA,38,TOWNER,095,BARLEY,BARLEY - ACRES HARVESTED,,"8,030"
NORTH DAKOTA,38,TOWNER,095,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"448,084"
NORTH DAKOTA,38,TOWNER,095,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,202
NORTH DAKOTA,38,TOWNER,095,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"138,023"
NORTH DAKOTA,38,TOWNER,095,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,521,388"
NORTH DAKOTA,38,TOWNER,095,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,39
NORTH DAKOTA,38,TOWNER,095,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"19,781"
NORTH DAKOTA,38,TOWNER,095,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"366,110"
NORTH DAKOTA,38,TOWNER,095,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,102
NORTH DAKOTA,38,TOWNER,095,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"17,971"
NORTH DAKOTA,38,TOWNER,095,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"35,223"
NORTH DAKOTA,38,TOWNER,095,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,8
NORTH DAKOTA,38,TOWNER,095,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"4,312"
NORTH DAKOTA,38,TOWNER,095,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"8,538,879"
NORTH DAKOTA,38,TOWNER,095,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,2
NORTH DAKOTA,38,TOWNER,095,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
NORTH DAKOTA,38,TOWNER,095,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,1
NORTH DAKOTA,38,TOWNER,095,POTATOES,POTATOES - ACRES HARVESTED,,(D)
NORTH DAKOTA,38,TOWNER,095,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,454
