state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,415
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),62
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),66
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),45
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),41
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",187
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"538,836"
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,298"
NORTH DAKOTA,38,TRAILL,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,800
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"4,004,597"
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,084"
NORTH DAKOTA,38,TRAILL,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"245,793,000"
NORTH DAKOTA,38,TRAILL,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"592,272"
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,391
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, CROPLAND - ACRES",,"526,077"
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,325
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"509,495"
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,2
NORTH DAKOTA,38,TRAILL,097,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
NORTH DAKOTA,38,TRAILL,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"225,930,000"
NORTH DAKOTA,38,TRAILL,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"544,409"
NORTH DAKOTA,38,TRAILL,097,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"223,748,000"
NORTH DAKOTA,38,TRAILL,097,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"2,182,000"
NORTH DAKOTA,38,TRAILL,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
