state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,763
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),17
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),75
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),192
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),153
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),80
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",246
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"804,520"
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,054"
NORTH DAKOTA,38,WALSH,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,320
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,649,975"
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,513"
NORTH DAKOTA,38,WALSH,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"340,391,000"
NORTH DAKOTA,38,WALSH,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"446,123"
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,707
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, CROPLAND - ACRES",,"720,275"
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,436
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"643,446"
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,12
NORTH DAKOTA,38,WALSH,099,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,741"
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"335,598,000"
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"439,840"
NORTH DAKOTA,38,WALSH,099,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"323,415,000"
NORTH DAKOTA,38,WALSH,099,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"12,183,000"
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",295
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",23
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",32
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",35
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",37
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",37
NORTH DAKOTA,38,WALSH,099,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",304
NORTH DAKOTA,38,WALSH,099,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,657
NORTH DAKOTA,38,WALSH,099,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"13,679,000"
NORTH DAKOTA,38,WALSH,099,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,539
NORTH DAKOTA,38,WALSH,099,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"18,659,000"
NORTH DAKOTA,38,WALSH,099,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"278,548,000"
NORTH DAKOTA,38,WALSH,099,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"365,070"
NORTH DAKOTA,38,WALSH,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,763
NORTH DAKOTA,38,WALSH,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"89,388,000"
NORTH DAKOTA,38,WALSH,099,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"117,153"
NORTH DAKOTA,38,WALSH,099,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,123
NORTH DAKOTA,38,WALSH,099,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"18,927"
NORTH DAKOTA,38,WALSH,099,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,118
