state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,718
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),21
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),83
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),92
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),122
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),87
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",313
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,153,475"
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,607"
NORTH DAKOTA,38,WARD,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,715
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,623,383"
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,633"
NORTH DAKOTA,38,WARD,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"268,328,000"
NORTH DAKOTA,38,WARD,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"373,715"
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,604
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, CROPLAND - ACRES",,"967,455"
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,534
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"873,331"
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,21
NORTH DAKOTA,38,WARD,101,AG LAND,"AG LAND, IRRIGATED - ACRES",,523
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"205,986,000"
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"286,889"
NORTH DAKOTA,38,WARD,101,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"188,435,000"
NORTH DAKOTA,38,WARD,101,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"17,552,000"
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",164
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",27
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",38
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",56
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",51
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",39
NORTH DAKOTA,38,WARD,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",343
NORTH DAKOTA,38,WARD,101,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,548
NORTH DAKOTA,38,WARD,101,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"20,719,000"
NORTH DAKOTA,38,WARD,101,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,508
NORTH DAKOTA,38,WARD,101,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"20,159,000"
NORTH DAKOTA,38,WARD,101,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"191,449,000"
NORTH DAKOTA,38,WARD,101,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"266,642"
NORTH DAKOTA,38,WARD,101,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,718
NORTH DAKOTA,38,WARD,101,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"55,415,000"
NORTH DAKOTA,38,WARD,101,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"77,180"
NORTH DAKOTA,38,WARD,101,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,227
