state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,435
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),64
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),60
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",206
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"785,692"
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,806"
NORTH DAKOTA,38,WELLS,103,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,917
NORTH DAKOTA,38,WELLS,103,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,089,877"
NORTH DAKOTA,38,WELLS,103,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,711"
NORTH DAKOTA,38,WELLS,103,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"273,594,000"
NORTH DAKOTA,38,WELLS,103,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"628,953"
NORTH DAKOTA,38,WELLS,103,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,400
NORTH DAKOTA,38,WELLS,103,AG LAND,"AG LAND, CROPLAND - ACRES",,"664,776"
NORTH DAKOTA,38,WELLS,103,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,351
