state,state fips,county,county code,commodity,data item,domain category,value
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,569
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),62
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),113
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),82
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),41
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",263
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"999,227"
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,756"
NORTH DAKOTA,38,WILLIAMS,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,660
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,925,239"
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,096"
NORTH DAKOTA,38,WILLIAMS,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"260,132,000"
NORTH DAKOTA,38,WILLIAMS,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"457,175"
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,467
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, CROPLAND - ACRES",,"754,415"
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,398
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"674,223"
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,43
NORTH DAKOTA,38,WILLIAMS,105,AG LAND,"AG LAND, IRRIGATED - ACRES",,"21,065"
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"131,781,000"
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"231,601"
NORTH DAKOTA,38,WILLIAMS,105,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"117,426,000"
NORTH DAKOTA,38,WILLIAMS,105,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"14,355,000"
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",162
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",17
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",34
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",43
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",44
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",45
NORTH DAKOTA,38,WILLIAMS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",224
NORTH DAKOTA,38,WILLIAMS,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,331
NORTH DAKOTA,38,WILLIAMS,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"9,204,000"
NORTH DAKOTA,38,WILLIAMS,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,368
NORTH DAKOTA,38,WILLIAMS,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"16,912,000"
NORTH DAKOTA,38,WILLIAMS,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"122,531,000"
NORTH DAKOTA,38,WILLIAMS,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"215,345"
