state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,392
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),52
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),78
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),90
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),62
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",95
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"354,554"
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,904
SOUTH DAKOTA,46,AURORA,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,340
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,400,283"
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,654"
SOUTH DAKOTA,46,AURORA,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"116,741,000"
SOUTH DAKOTA,46,AURORA,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"297,809"
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,339
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"228,778"
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,284
SOUTH DAKOTA,46,AURORA,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"204,840"
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"138,196,000"
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"352,540"
SOUTH DAKOTA,46,AURORA,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"64,497,000"
SOUTH DAKOTA,46,AURORA,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"73,699,000"
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",95
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",13
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",40
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",28
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",25
SOUTH DAKOTA,46,AURORA,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",181
SOUTH DAKOTA,46,AURORA,003,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,325
SOUTH DAKOTA,46,AURORA,003,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,879,000"
SOUTH DAKOTA,46,AURORA,003,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,302
SOUTH DAKOTA,46,AURORA,003,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,561,000"
SOUTH DAKOTA,46,AURORA,003,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"130,764,000"
SOUTH DAKOTA,46,AURORA,003,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"333,581"
SOUTH DAKOTA,46,AURORA,003,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,392
SOUTH DAKOTA,46,AURORA,003,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"20,872,000"
SOUTH DAKOTA,46,AURORA,003,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"53,244"
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,194
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"57,078"
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,172
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,196
SOUTH DAKOTA,46,AURORA,003,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"39,354"
SOUTH DAKOTA,46,AURORA,003,HOGS,HOGS - OPERATIONS WITH INVENTORY,,9
SOUTH DAKOTA,46,AURORA,003,HOGS,HOGS - INVENTORY,,"21,264"
SOUTH DAKOTA,46,AURORA,003,HOGS,HOGS - OPERATIONS WITH SALES,,9
SOUTH DAKOTA,46,AURORA,003,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"61,014"
SOUTH DAKOTA,46,AURORA,003,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,19
SOUTH DAKOTA,46,AURORA,003,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"3,749"
SOUTH DAKOTA,46,AURORA,003,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,17
SOUTH DAKOTA,46,AURORA,003,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
SOUTH DAKOTA,46,AURORA,003,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
SOUTH DAKOTA,46,AURORA,003,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,179
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, GRAIN - ACRES HARVESTED",,"74,521"
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"9,880,562"
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,32
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, SILAGE - ACRES HARVESTED",,"4,828"
SOUTH DAKOTA,46,AURORA,003,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"41,581"
SOUTH DAKOTA,46,AURORA,003,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,21
