state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,213
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),12
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),22
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),14
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),26
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",139
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"636,917"
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,990"
SOUTH DAKOTA,46,BENNETT,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,760"
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,846,734"
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,952
SOUTH DAKOTA,46,BENNETT,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"53,495,000"
SOUTH DAKOTA,46,BENNETT,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"251,150"
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,177
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, CROPLAND - ACRES",,"214,299"
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,164
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"175,530"
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,33
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,516"
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"65,933,000"
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"309,545"
SOUTH DAKOTA,46,BENNETT,007,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"26,736,000"
SOUTH DAKOTA,46,BENNETT,007,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"39,197,000"
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",24
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",13
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",20
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",21
SOUTH DAKOTA,46,BENNETT,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",120
SOUTH DAKOTA,46,BENNETT,007,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,153
SOUTH DAKOTA,46,BENNETT,007,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,641,000"
SOUTH DAKOTA,46,BENNETT,007,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,101
SOUTH DAKOTA,46,BENNETT,007,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"5,641,000"
SOUTH DAKOTA,46,BENNETT,007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"47,487,000"
SOUTH DAKOTA,46,BENNETT,007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"222,943"
SOUTH DAKOTA,46,BENNETT,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,213
SOUTH DAKOTA,46,BENNETT,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"27,729,000"
SOUTH DAKOTA,46,BENNETT,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"130,181"
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,142
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"63,562"
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,136
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"31,582"
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,8
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,139
SOUTH DAKOTA,46,BENNETT,007,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"36,714"
SOUTH DAKOTA,46,BENNETT,007,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
SOUTH DAKOTA,46,BENNETT,007,HOGS,HOGS - INVENTORY,,(D)
SOUTH DAKOTA,46,BENNETT,007,HOGS,HOGS - OPERATIONS WITH SALES,,2
SOUTH DAKOTA,46,BENNETT,007,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,BENNETT,007,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,2
SOUTH DAKOTA,46,BENNETT,007,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
SOUTH DAKOTA,46,BENNETT,007,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,2
SOUTH DAKOTA,46,BENNETT,007,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,58
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, GRAIN - ACRES HARVESTED",,"37,746"
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"3,117,758"
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,20
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, SILAGE - ACRES HARVESTED",,"1,310"
SOUTH DAKOTA,46,BENNETT,007,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"15,109"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,35
SOUTH DAKOTA,46,BENNETT,007,WHEAT,WHEAT - ACRES HARVESTED,,"24,698"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"957,709"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,19
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"5,768"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"215,428"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,32
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"18,930"
SOUTH DAKOTA,46,BENNETT,007,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"742,281"
SOUTH DAKOTA,46,BENNETT,007,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,13
SOUTH DAKOTA,46,BENNETT,007,OATS,OATS - ACRES HARVESTED,,"3,015"
SOUTH DAKOTA,46,BENNETT,007,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"200,334"
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,12
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"2,296"
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"119,638"
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,4
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,400
SOUTH DAKOTA,46,BENNETT,007,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"9,500"
SOUTH DAKOTA,46,BENNETT,007,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,14
SOUTH DAKOTA,46,BENNETT,007,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"15,026"
SOUTH DAKOTA,46,BENNETT,007,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"423,568"
SOUTH DAKOTA,46,BENNETT,007,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,BENNETT,007,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BENNETT,007,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,(D)
SOUTH DAKOTA,46,BENNETT,007,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,145
SOUTH DAKOTA,46,BENNETT,007,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"66,852"
SOUTH DAKOTA,46,BENNETT,007,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"90,626"
SOUTH DAKOTA,46,BENNETT,007,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,23
SOUTH DAKOTA,46,BENNETT,007,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"16,514"
SOUTH DAKOTA,46,BENNETT,007,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"23,859,940"
SOUTH DAKOTA,46,BENNETT,007,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,1
SOUTH DAKOTA,46,BENNETT,007,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
SOUTH DAKOTA,46,BENNETT,007,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,213
