state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,583
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),23
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),105
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),120
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),134
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),111
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",90
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"304,914"
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,523
SOUTH DAKOTA,46,BON HOMME,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,270
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,083,627"
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,984"
SOUTH DAKOTA,46,BON HOMME,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"159,775,000"
SOUTH DAKOTA,46,BON HOMME,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"274,056"
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,527
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, CROPLAND - ACRES",,"228,354"
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,443
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"206,886"
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,36
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,608"
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"152,852,000"
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"262,182"
SOUTH DAKOTA,46,BON HOMME,009,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"77,984,000"
SOUTH DAKOTA,46,BON HOMME,009,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"74,868,000"
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",132
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",28
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",20
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",43
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",57
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",64
SOUTH DAKOTA,46,BON HOMME,009,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",239
SOUTH DAKOTA,46,BON HOMME,009,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,505
SOUTH DAKOTA,46,BON HOMME,009,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,300,000"
SOUTH DAKOTA,46,BON HOMME,009,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,383
SOUTH DAKOTA,46,BON HOMME,009,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,086,000"
SOUTH DAKOTA,46,BON HOMME,009,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"124,239,000"
SOUTH DAKOTA,46,BON HOMME,009,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"213,103"
SOUTH DAKOTA,46,BON HOMME,009,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,583
SOUTH DAKOTA,46,BON HOMME,009,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"42,999,000"
SOUTH DAKOTA,46,BON HOMME,009,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"73,755"
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,285
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"51,634"
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,254
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,1
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,279
SOUTH DAKOTA,46,BON HOMME,009,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"47,474"
SOUTH DAKOTA,46,BON HOMME,009,HOGS,HOGS - OPERATIONS WITH INVENTORY,,16
SOUTH DAKOTA,46,BON HOMME,009,HOGS,HOGS - INVENTORY,,"26,962"
SOUTH DAKOTA,46,BON HOMME,009,HOGS,HOGS - OPERATIONS WITH SALES,,16
SOUTH DAKOTA,46,BON HOMME,009,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"53,029"
SOUTH DAKOTA,46,BON HOMME,009,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,17
SOUTH DAKOTA,46,BON HOMME,009,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,900"
SOUTH DAKOTA,46,BON HOMME,009,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,25
SOUTH DAKOTA,46,BON HOMME,009,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,619
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,323
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, GRAIN - ACRES HARVESTED",,"83,741"
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"11,164,510"
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,73
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, SILAGE - ACRES HARVESTED",,"6,559"
SOUTH DAKOTA,46,BON HOMME,009,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"80,728"
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,42
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,WHEAT - ACRES HARVESTED,,"2,746"
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"154,344"
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,40
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BON HOMME,009,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BON HOMME,009,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,13
SOUTH DAKOTA,46,BON HOMME,009,OATS,OATS - ACRES HARVESTED,,708
SOUTH DAKOTA,46,BON HOMME,009,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"48,269"
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,3
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,91
SOUTH DAKOTA,46,BON HOMME,009,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"1,588"
SOUTH DAKOTA,46,BON HOMME,009,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,333
SOUTH DAKOTA,46,BON HOMME,009,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"87,674"
SOUTH DAKOTA,46,BON HOMME,009,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,093,108"
SOUTH DAKOTA,46,BON HOMME,009,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,344
SOUTH DAKOTA,46,BON HOMME,009,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"25,136"
SOUTH DAKOTA,46,BON HOMME,009,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"80,759"
SOUTH DAKOTA,46,BON HOMME,009,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,BON HOMME,009,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BON HOMME,009,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,2
SOUTH DAKOTA,46,BON HOMME,009,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
SOUTH DAKOTA,46,BON HOMME,009,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,583
