state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,886
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),46
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),229
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),220
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),165
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),99
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",127
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"459,501"
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,519
SOUTH DAKOTA,46,BROOKINGS,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,152
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,386,912"
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,602"
SOUTH DAKOTA,46,BROOKINGS,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"219,955,000"
SOUTH DAKOTA,46,BROOKINGS,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"248,257"
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,747
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, CROPLAND - ACRES",,"345,429"
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,605
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"286,523"
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,78
SOUTH DAKOTA,46,BROOKINGS,011,AG LAND,"AG LAND, IRRIGATED - ACRES",,"20,527"
SOUTH DAKOTA,46,BROOKINGS,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"316,332,000"
SOUTH DAKOTA,46,BROOKINGS,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"357,033"
SOUTH DAKOTA,46,BROOKINGS,011,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"126,076,000"
SOUTH DAKOTA,46,BROOKINGS,011,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"190,256,000"
