state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,034"
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),54
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),197
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),239
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),162
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),99
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",283
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,083,014"
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,047"
SOUTH DAKOTA,46,BROWN,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,210
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,521,412"
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,362"
SOUTH DAKOTA,46,BROWN,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"372,886,000"
SOUTH DAKOTA,46,BROWN,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"360,625"
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,917
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, CROPLAND - ACRES",,"884,554"
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,677
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"771,781"
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,16
SOUTH DAKOTA,46,BROWN,013,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,443"
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"377,443,000"
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"365,032"
SOUTH DAKOTA,46,BROWN,013,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"293,761,000"
SOUTH DAKOTA,46,BROWN,013,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"83,682,000"
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",376
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",37
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",56
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",55
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",61
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",61
SOUTH DAKOTA,46,BROWN,013,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",388
SOUTH DAKOTA,46,BROWN,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,650
SOUTH DAKOTA,46,BROWN,013,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"11,893,000"
SOUTH DAKOTA,46,BROWN,013,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,706
SOUTH DAKOTA,46,BROWN,013,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"32,536,000"
SOUTH DAKOTA,46,BROWN,013,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"331,917,000"
SOUTH DAKOTA,46,BROWN,013,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"321,002"
SOUTH DAKOTA,46,BROWN,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,034"
SOUTH DAKOTA,46,BROWN,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"89,956,000"
SOUTH DAKOTA,46,BROWN,013,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"86,998"
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,308
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"60,352"
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,279
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"28,206"
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,11
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"2,587"
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,299
SOUTH DAKOTA,46,BROWN,013,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"49,290"
SOUTH DAKOTA,46,BROWN,013,HOGS,HOGS - OPERATIONS WITH INVENTORY,,13
SOUTH DAKOTA,46,BROWN,013,HOGS,HOGS - INVENTORY,,(D)
SOUTH DAKOTA,46,BROWN,013,HOGS,HOGS - OPERATIONS WITH SALES,,14
SOUTH DAKOTA,46,BROWN,013,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"82,206"
SOUTH DAKOTA,46,BROWN,013,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,49
SOUTH DAKOTA,46,BROWN,013,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,309"
SOUTH DAKOTA,46,BROWN,013,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,68
SOUTH DAKOTA,46,BROWN,013,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"1,697"
