state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,394
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),57
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),55
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),83
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),39
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",149
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"517,536"
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,314"
SOUTH DAKOTA,46,BRULE,015,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,417
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,386,122"
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,578"
SOUTH DAKOTA,46,BRULE,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"123,264,000"
SOUTH DAKOTA,46,BRULE,015,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"312,852"
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,342
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, CROPLAND - ACRES",,"277,869"
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,290
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"228,639"
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,9
SOUTH DAKOTA,46,BRULE,015,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,405"
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"153,565,000"
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"389,760"
SOUTH DAKOTA,46,BRULE,015,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"49,970,000"
SOUTH DAKOTA,46,BRULE,015,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"103,595,000"
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",90
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",13
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",48
SOUTH DAKOTA,46,BRULE,015,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",170
SOUTH DAKOTA,46,BRULE,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,304
SOUTH DAKOTA,46,BRULE,015,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,948,000"
SOUTH DAKOTA,46,BRULE,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,288
SOUTH DAKOTA,46,BRULE,015,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"14,995,000"
SOUTH DAKOTA,46,BRULE,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"130,086,000"
SOUTH DAKOTA,46,BRULE,015,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"330,168"
SOUTH DAKOTA,46,BRULE,015,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,394
