state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,68
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),10
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),6
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),7
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),1
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",44
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"299,891"
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,410"
SOUTH DAKOTA,46,BUFFALO,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,585"
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"6,815,539"
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,545"
SOUTH DAKOTA,46,BUFFALO,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"34,189,000"
SOUTH DAKOTA,46,BUFFALO,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"502,785"
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,58
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, CROPLAND - ACRES",,"85,435"
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,51
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"74,195"
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,12
SOUTH DAKOTA,46,BUFFALO,017,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,330"
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"39,513,000"
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"581,067"
SOUTH DAKOTA,46,BUFFALO,017,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"16,679,000"
SOUTH DAKOTA,46,BUFFALO,017,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"22,833,000"
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",7
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",7
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",4
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",2
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",3
SOUTH DAKOTA,46,BUFFALO,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",39
