state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,565
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),16
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),84
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),139
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),102
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),52
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",172
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,155,068"
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,044"
SOUTH DAKOTA,46,BUTTE,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,310
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,959,536"
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,959
SOUTH DAKOTA,46,BUTTE,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"72,086,000"
SOUTH DAKOTA,46,BUTTE,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"127,586"
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,408
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, CROPLAND - ACRES",,"150,243"
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,356
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"81,073"
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,279
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, IRRIGATED - ACRES",,"46,730"
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"67,976,000"
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"120,312"
SOUTH DAKOTA,46,BUTTE,019,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,473,000"
SOUTH DAKOTA,46,BUTTE,019,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"59,503,000"
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",115
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",41
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",51
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",62
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",57
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",78
SOUTH DAKOTA,46,BUTTE,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",161
SOUTH DAKOTA,46,BUTTE,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,296
SOUTH DAKOTA,46,BUTTE,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,104,000"
SOUTH DAKOTA,46,BUTTE,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,314
SOUTH DAKOTA,46,BUTTE,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,919,000"
SOUTH DAKOTA,46,BUTTE,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"60,299,000"
SOUTH DAKOTA,46,BUTTE,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"106,723"
SOUTH DAKOTA,46,BUTTE,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,565
SOUTH DAKOTA,46,BUTTE,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"17,701,000"
SOUTH DAKOTA,46,BUTTE,019,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"31,329"
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,311
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"72,287"
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,287
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"38,738"
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,34
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,299
SOUTH DAKOTA,46,BUTTE,019,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"49,272"
SOUTH DAKOTA,46,BUTTE,019,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
SOUTH DAKOTA,46,BUTTE,019,HOGS,HOGS - INVENTORY,,(D)
SOUTH DAKOTA,46,BUTTE,019,HOGS,HOGS - OPERATIONS WITH SALES,,1
SOUTH DAKOTA,46,BUTTE,019,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,BUTTE,019,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,96
SOUTH DAKOTA,46,BUTTE,019,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"35,144"
SOUTH DAKOTA,46,BUTTE,019,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,51
SOUTH DAKOTA,46,BUTTE,019,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,844
SOUTH DAKOTA,46,BUTTE,019,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
SOUTH DAKOTA,46,BUTTE,019,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,11
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, GRAIN - ACRES HARVESTED",,899
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"131,008"
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,19
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, SILAGE - ACRES HARVESTED",,"2,072"
SOUTH DAKOTA,46,BUTTE,019,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"22,678"
SOUTH DAKOTA,46,BUTTE,019,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,13
SOUTH DAKOTA,46,BUTTE,019,WHEAT,WHEAT - ACRES HARVESTED,,"3,053"
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"99,357"
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,8
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,5
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,BUTTE,019,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BUTTE,019,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,5
SOUTH DAKOTA,46,BUTTE,019,OATS,OATS - ACRES HARVESTED,,147
SOUTH DAKOTA,46,BUTTE,019,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"10,600"
SOUTH DAKOTA,46,BUTTE,019,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,1
SOUTH DAKOTA,46,BUTTE,019,BARLEY,BARLEY - ACRES HARVESTED,,(D)
SOUTH DAKOTA,46,BUTTE,019,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,3
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,237
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"10,904"
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,7
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,368
SOUTH DAKOTA,46,BUTTE,019,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"3,288"
SOUTH DAKOTA,46,BUTTE,019,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,6
SOUTH DAKOTA,46,BUTTE,019,SOYBEANS,SOYBEANS - ACRES HARVESTED,,(D)
SOUTH DAKOTA,46,BUTTE,019,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"24,869"
SOUTH DAKOTA,46,BUTTE,019,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,337
SOUTH DAKOTA,46,BUTTE,019,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"73,580"
SOUTH DAKOTA,46,BUTTE,019,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"118,586"
SOUTH DAKOTA,46,BUTTE,019,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,5
SOUTH DAKOTA,46,BUTTE,019,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,18
SOUTH DAKOTA,46,BUTTE,019,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,4
SOUTH DAKOTA,46,BUTTE,019,POTATOES,POTATOES - ACRES HARVESTED,,1
SOUTH DAKOTA,46,BUTTE,019,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,10
SOUTH DAKOTA,46,BUTTE,019,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,31
SOUTH DAKOTA,46,BUTTE,019,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,565
