state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,249
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),7
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),11
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),46
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),27
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),38
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",120
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"433,761"
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,742"
SOUTH DAKOTA,46,CAMPBELL,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,960
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,190,052"
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,831"
SOUTH DAKOTA,46,CAMPBELL,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"84,624,000"
SOUTH DAKOTA,46,CAMPBELL,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"339,855"
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,204
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"250,820"
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,159
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"206,637"
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,13
SOUTH DAKOTA,46,CAMPBELL,021,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,640"
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"96,197,000"
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"386,333"
SOUTH DAKOTA,46,CAMPBELL,021,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"55,364,000"
SOUTH DAKOTA,46,CAMPBELL,021,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"40,833,000"
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",74
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",5
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",14
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",15
SOUTH DAKOTA,46,CAMPBELL,021,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",21
