state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,671
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),12
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),74
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),129
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),136
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),102
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",218
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"685,988"
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,022"
SOUTH DAKOTA,46,CHARLES MIX,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,465
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,850,723"
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,788"
SOUTH DAKOTA,46,CHARLES MIX,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"235,060,000"
SOUTH DAKOTA,46,CHARLES MIX,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"350,312"
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,598
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"451,000"
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,509
SOUTH DAKOTA,46,CHARLES MIX,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"397,907"
