state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,553
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),57
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),119
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),91
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),101
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",183
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"602,011"
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,089"
SOUTH DAKOTA,46,CLARK,025,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,520
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,428,717"
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,150"
SOUTH DAKOTA,46,CLARK,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"160,661,000"
SOUTH DAKOTA,46,CLARK,025,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"290,526"
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,511
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, CROPLAND - ACRES",,"444,844"
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,408
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"400,622"
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,44
SOUTH DAKOTA,46,CLARK,025,AG LAND,"AG LAND, IRRIGATED - ACRES",,"17,607"
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"267,581,000"
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"483,871"
SOUTH DAKOTA,46,CLARK,025,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"148,899,000"
SOUTH DAKOTA,46,CLARK,025,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"118,681,000"
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",144
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",16
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",13
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",32
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",31
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",50
SOUTH DAKOTA,46,CLARK,025,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",267
SOUTH DAKOTA,46,CLARK,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,455
SOUTH DAKOTA,46,CLARK,025,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,415,000"
SOUTH DAKOTA,46,CLARK,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,434
SOUTH DAKOTA,46,CLARK,025,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"16,608,000"
SOUTH DAKOTA,46,CLARK,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"228,066,000"
SOUTH DAKOTA,46,CLARK,025,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"412,416"
SOUTH DAKOTA,46,CLARK,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,553
SOUTH DAKOTA,46,CLARK,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"63,538,000"
SOUTH DAKOTA,46,CLARK,025,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"114,896"
SOUTH DAKOTA,46,CLARK,025,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,236
SOUTH DAKOTA,46,CLARK,025,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"67,264"
SOUTH DAKOTA,46,CLARK,025,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,219
SOUTH DAKOTA,46,CLARK,025,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
SOUTH DAKOTA,46,CLARK,025,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,5
