state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,601
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),34
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),173
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),128
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),100
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),48
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",118
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"383,166"
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,638
SOUTH DAKOTA,46,CODINGTON,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,152
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,210,441"
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,467"
SOUTH DAKOTA,46,CODINGTON,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"130,984,000"
SOUTH DAKOTA,46,CODINGTON,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"217,944"
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,481
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, CROPLAND - ACRES",,"268,043"
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,410
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"230,280"
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,24
SOUTH DAKOTA,46,CODINGTON,029,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,226"
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"155,878,000"
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"259,365"
SOUTH DAKOTA,46,CODINGTON,029,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"88,966,000"
SOUTH DAKOTA,46,CODINGTON,029,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"66,912,000"
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",202
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",24
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",44
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",56
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",43
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",59
SOUTH DAKOTA,46,CODINGTON,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",173
SOUTH DAKOTA,46,CODINGTON,029,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,352
SOUTH DAKOTA,46,CODINGTON,029,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,928,000"
SOUTH DAKOTA,46,CODINGTON,029,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,362
SOUTH DAKOTA,46,CODINGTON,029,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,723,000"
SOUTH DAKOTA,46,CODINGTON,029,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"122,112,000"
SOUTH DAKOTA,46,CODINGTON,029,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"203,181"
SOUTH DAKOTA,46,CODINGTON,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,601
SOUTH DAKOTA,46,CODINGTON,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"50,417,000"
SOUTH DAKOTA,46,CODINGTON,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"83,889"
