state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,322
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),14
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),25
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),21
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),40
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",217
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,287,507"
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,998"
SOUTH DAKOTA,46,CORSON,031,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,270"
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,675,545"
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,919
SOUTH DAKOTA,46,CORSON,031,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"104,693,000"
SOUTH DAKOTA,46,CORSON,031,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"325,133"
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,266
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, CROPLAND - ACRES",,"398,555"
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,231
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"292,697"
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,1
SOUTH DAKOTA,46,CORSON,031,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"116,952,000"
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"363,206"
SOUTH DAKOTA,46,CORSON,031,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"33,492,000"
SOUTH DAKOTA,46,CORSON,031,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"83,460,000"
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",33
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",9
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",18
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",14
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",49
SOUTH DAKOTA,46,CORSON,031,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",190
SOUTH DAKOTA,46,CORSON,031,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,258
SOUTH DAKOTA,46,CORSON,031,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,905,000"
