state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,441
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),17
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),91
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),119
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),69
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),46
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",99
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"611,805"
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,387"
SOUTH DAKOTA,46,CUSTER,033,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,160
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,213,944"
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,596"
SOUTH DAKOTA,46,CUSTER,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"38,085,000"
SOUTH DAKOTA,46,CUSTER,033,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"86,361"
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,271
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, CROPLAND - ACRES",,"49,435"
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,239
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"34,331"
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,31
SOUTH DAKOTA,46,CUSTER,033,AG LAND,"AG LAND, IRRIGATED - ACRES",,"3,872"
