state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,463
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),124
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),106
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),92
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),46
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",77
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"270,256"
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,584
SOUTH DAKOTA,46,DAVISON,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,160
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,983,497"
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,398"
SOUTH DAKOTA,46,DAVISON,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"103,768,000"
SOUTH DAKOTA,46,DAVISON,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"224,120"
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,377
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, CROPLAND - ACRES",,"212,393"
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,337
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"192,356"
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,15
SOUTH DAKOTA,46,DAVISON,035,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,709"
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"107,665,000"
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"232,539"
SOUTH DAKOTA,46,DAVISON,035,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"66,080,000"
SOUTH DAKOTA,46,DAVISON,035,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"41,585,000"
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",139
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",50
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",24
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",37
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",42
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",35
SOUTH DAKOTA,46,DAVISON,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",136
SOUTH DAKOTA,46,DAVISON,035,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,279
