state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,581
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),16
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),65
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),153
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),112
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),66
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",169
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"610,611"
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,051"
SOUTH DAKOTA,46,DAY,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,329
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,779,344"
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,645"
SOUTH DAKOTA,46,DAY,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"160,001,000"
SOUTH DAKOTA,46,DAY,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"275,390"
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,504
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"456,455"
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,366
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"392,578"
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,10
SOUTH DAKOTA,46,DAY,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,301"
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"183,980,000"
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"316,661"
SOUTH DAKOTA,46,DAY,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"152,480,000"
SOUTH DAKOTA,46,DAY,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"31,500,000"
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",197
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",13
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",41
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",51
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",28
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",34
SOUTH DAKOTA,46,DAY,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",217
SOUTH DAKOTA,46,DAY,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,461
SOUTH DAKOTA,46,DAY,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"13,431,000"
SOUTH DAKOTA,46,DAY,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,415
SOUTH DAKOTA,46,DAY,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"12,335,000"
SOUTH DAKOTA,46,DAY,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"151,565,000"
SOUTH DAKOTA,46,DAY,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"260,869"
SOUTH DAKOTA,46,DAY,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,581
