state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,634
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),39
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),118
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),152
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),130
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),79
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",116
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"335,322"
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,529
SOUTH DAKOTA,46,DEUEL,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,195
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,823,780"
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,448"
SOUTH DAKOTA,46,DEUEL,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"131,264,000"
SOUTH DAKOTA,46,DEUEL,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"207,041"
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,546
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, CROPLAND - ACRES",,"223,776"
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,391
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"190,336"
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,11
SOUTH DAKOTA,46,DEUEL,039,AG LAND,"AG LAND, IRRIGATED - ACRES",,527
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"184,909,000"
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"291,654"
SOUTH DAKOTA,46,DEUEL,039,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"70,035,000"
SOUTH DAKOTA,46,DEUEL,039,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"114,874,000"
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",234
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",12
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",23
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",62
SOUTH DAKOTA,46,DEUEL,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
