state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,392
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),21
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),64
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),73
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),64
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),81
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",89
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"274,755"
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,701
SOUTH DAKOTA,46,DOUGLAS,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,355
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,607,726"
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,721"
SOUTH DAKOTA,46,DOUGLAS,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"128,328,000"
SOUTH DAKOTA,46,DOUGLAS,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"327,367"
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,336
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"214,714"
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,293
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"190,476"
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,15
SOUTH DAKOTA,46,DOUGLAS,043,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,789"
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"144,630,000"
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"368,954"
SOUTH DAKOTA,46,DOUGLAS,043,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"64,277,000"
SOUTH DAKOTA,46,DOUGLAS,043,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"80,353,000"
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",60
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",21
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",28
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",31
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",44
SOUTH DAKOTA,46,DOUGLAS,043,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",206
SOUTH DAKOTA,46,DOUGLAS,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,299
SOUTH DAKOTA,46,DOUGLAS,043,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,604,000"
SOUTH DAKOTA,46,DOUGLAS,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,321
SOUTH DAKOTA,46,DOUGLAS,043,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,829,000"
SOUTH DAKOTA,46,DOUGLAS,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"124,761,000"
SOUTH DAKOTA,46,DOUGLAS,043,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"318,268"
SOUTH DAKOTA,46,DOUGLAS,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,392
SOUTH DAKOTA,46,DOUGLAS,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"32,302,000"
SOUTH DAKOTA,46,DOUGLAS,043,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"82,404"
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,198
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"44,353"
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,169
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"15,449"
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,8
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,310
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,192
SOUTH DAKOTA,46,DOUGLAS,043,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"36,730"
SOUTH DAKOTA,46,DOUGLAS,043,HOGS,HOGS - OPERATIONS WITH INVENTORY,,21
SOUTH DAKOTA,46,DOUGLAS,043,HOGS,HOGS - INVENTORY,,"62,802"
SOUTH DAKOTA,46,DOUGLAS,043,HOGS,HOGS - OPERATIONS WITH SALES,,21
SOUTH DAKOTA,46,DOUGLAS,043,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"452,470"
SOUTH DAKOTA,46,DOUGLAS,043,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,31
SOUTH DAKOTA,46,DOUGLAS,043,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"3,503"
SOUTH DAKOTA,46,DOUGLAS,043,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,16
SOUTH DAKOTA,46,DOUGLAS,043,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
SOUTH DAKOTA,46,DOUGLAS,043,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,222
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, GRAIN - ACRES HARVESTED",,"77,028"
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"9,667,668"
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,46
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, SILAGE - ACRES HARVESTED",,"3,778"
SOUTH DAKOTA,46,DOUGLAS,043,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"57,189"
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,38
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,WHEAT - ACRES HARVESTED,,"4,894"
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"311,638"
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,37
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,DOUGLAS,043,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,13
SOUTH DAKOTA,46,DOUGLAS,043,OATS,OATS - ACRES HARVESTED,,"1,589"
SOUTH DAKOTA,46,DOUGLAS,043,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"147,703"
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,5
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,550
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"72,785"
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,3
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,119
SOUTH DAKOTA,46,DOUGLAS,043,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"2,520"
SOUTH DAKOTA,46,DOUGLAS,043,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,218
SOUTH DAKOTA,46,DOUGLAS,043,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"81,353"
SOUTH DAKOTA,46,DOUGLAS,043,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"3,277,116"
SOUTH DAKOTA,46,DOUGLAS,043,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,211
SOUTH DAKOTA,46,DOUGLAS,043,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"21,022"
