state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,314
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),12
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),32
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),66
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),41
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),20
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",143
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"898,071"
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,860"
SOUTH DAKOTA,46,FALL RIVER,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,711
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,048,121"
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,716
SOUTH DAKOTA,46,FALL RIVER,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"35,559,000"
SOUTH DAKOTA,46,FALL RIVER,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"113,245"
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,185
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, CROPLAND - ACRES",,"68,739"
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,162
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"47,226"
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,45
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,273"
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"87,087,000"
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"277,347"
SOUTH DAKOTA,46,FALL RIVER,047,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,250,000"
SOUTH DAKOTA,46,FALL RIVER,047,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"83,837,000"
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",87
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",15
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",27
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",34
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",37
SOUTH DAKOTA,46,FALL RIVER,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",95
SOUTH DAKOTA,46,FALL RIVER,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,156
SOUTH DAKOTA,46,FALL RIVER,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,368,000"
SOUTH DAKOTA,46,FALL RIVER,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,148
SOUTH DAKOTA,46,FALL RIVER,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,350,000"
SOUTH DAKOTA,46,FALL RIVER,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"74,659,000"
SOUTH DAKOTA,46,FALL RIVER,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"237,767"
SOUTH DAKOTA,46,FALL RIVER,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,314
SOUTH DAKOTA,46,FALL RIVER,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"17,147,000"
SOUTH DAKOTA,46,FALL RIVER,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"54,608"
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,207
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"61,856"
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,193
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"49,386"
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,6
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,189
SOUTH DAKOTA,46,FALL RIVER,047,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"72,514"
SOUTH DAKOTA,46,FALL RIVER,047,HOGS,HOGS - OPERATIONS WITH INVENTORY,,12
SOUTH DAKOTA,46,FALL RIVER,047,HOGS,HOGS - INVENTORY,,59
SOUTH DAKOTA,46,FALL RIVER,047,HOGS,HOGS - OPERATIONS WITH SALES,,6
SOUTH DAKOTA,46,FALL RIVER,047,HOGS,"HOGS - SALES, MEASURED IN HEAD",,53
SOUTH DAKOTA,46,FALL RIVER,047,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,33
SOUTH DAKOTA,46,FALL RIVER,047,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,882"
SOUTH DAKOTA,46,FALL RIVER,047,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,50
SOUTH DAKOTA,46,FALL RIVER,047,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"1,298"
SOUTH DAKOTA,46,FALL RIVER,047,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,3
SOUTH DAKOTA,46,FALL RIVER,047,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,78
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,16
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, GRAIN - ACRES HARVESTED",,"1,919"
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"270,569"
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,7
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,WHEAT - ACRES HARVESTED,,"2,722"
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"71,816"
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,7
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"2,722"
SOUTH DAKOTA,46,FALL RIVER,047,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"71,816"
SOUTH DAKOTA,46,FALL RIVER,047,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,4
SOUTH DAKOTA,46,FALL RIVER,047,OATS,OATS - ACRES HARVESTED,,183
SOUTH DAKOTA,46,FALL RIVER,047,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"7,000"
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
SOUTH DAKOTA,46,FALL RIVER,047,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,148
SOUTH DAKOTA,46,FALL RIVER,047,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"40,110"
SOUTH DAKOTA,46,FALL RIVER,047,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"67,128"
SOUTH DAKOTA,46,FALL RIVER,047,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,6
SOUTH DAKOTA,46,FALL RIVER,047,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,888
SOUTH DAKOTA,46,FALL RIVER,047,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"990,000"
SOUTH DAKOTA,46,FALL RIVER,047,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,4
SOUTH DAKOTA,46,FALL RIVER,047,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,9
SOUTH DAKOTA,46,FALL RIVER,047,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,2
SOUTH DAKOTA,46,FALL RIVER,047,POTATOES,POTATOES - ACRES HARVESTED,,(D)
SOUTH DAKOTA,46,FALL RIVER,047,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,3
SOUTH DAKOTA,46,FALL RIVER,047,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
SOUTH DAKOTA,46,FALL RIVER,047,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,314
