state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,554
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),23
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),113
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),122
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),85
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),66
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",145
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"425,627"
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,768
SOUTH DAKOTA,46,GRANT,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,242
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,864,773"
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,729"
SOUTH DAKOTA,46,GRANT,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"186,530,000"
SOUTH DAKOTA,46,GRANT,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"336,697"
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,483
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, CROPLAND - ACRES",,"307,747"
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,397
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"283,987"
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
SOUTH DAKOTA,46,GRANT,051,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,218"
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"235,442,000"
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"424,986"
SOUTH DAKOTA,46,GRANT,051,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"118,509,000"
SOUTH DAKOTA,46,GRANT,051,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"116,933,000"
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",132
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",24
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",46
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",36
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",60
SOUTH DAKOTA,46,GRANT,051,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",231
SOUTH DAKOTA,46,GRANT,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,386
SOUTH DAKOTA,46,GRANT,051,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"4,192,000"
SOUTH DAKOTA,46,GRANT,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,382
SOUTH DAKOTA,46,GRANT,051,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"8,927,000"
SOUTH DAKOTA,46,GRANT,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"198,630,000"
SOUTH DAKOTA,46,GRANT,051,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"358,539"
SOUTH DAKOTA,46,GRANT,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,554
SOUTH DAKOTA,46,GRANT,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"49,931,000"
SOUTH DAKOTA,46,GRANT,051,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"90,128"
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,240
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"70,998"
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,208
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"18,718"
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,15
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"17,697"
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,223
SOUTH DAKOTA,46,GRANT,051,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"44,983"
SOUTH DAKOTA,46,GRANT,051,HOGS,HOGS - OPERATIONS WITH INVENTORY,,8
SOUTH DAKOTA,46,GRANT,051,HOGS,HOGS - INVENTORY,,"1,380"
SOUTH DAKOTA,46,GRANT,051,HOGS,HOGS - OPERATIONS WITH SALES,,8
SOUTH DAKOTA,46,GRANT,051,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,GRANT,051,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,20
SOUTH DAKOTA,46,GRANT,051,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,889
SOUTH DAKOTA,46,GRANT,051,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,35
SOUTH DAKOTA,46,GRANT,051,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,651
SOUTH DAKOTA,46,GRANT,051,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,6
SOUTH DAKOTA,46,GRANT,051,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,201
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,235
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, GRAIN - ACRES HARVESTED",,"103,363"
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"18,343,053"
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,48
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, SILAGE - ACRES HARVESTED",,"14,024"
SOUTH DAKOTA,46,GRANT,051,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"295,442"
SOUTH DAKOTA,46,GRANT,051,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,95
SOUTH DAKOTA,46,GRANT,051,WHEAT,WHEAT - ACRES HARVESTED,,"14,704"
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"893,901"
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,5
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,502
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"17,042"
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,86
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"12,604"
SOUTH DAKOTA,46,GRANT,051,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"782,529"
