state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,495
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),44
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),91
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),119
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),86
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",154
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"562,085"
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,136"
SOUTH DAKOTA,46,GREGORY,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,134,179"
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,879"
SOUTH DAKOTA,46,GREGORY,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"103,143,000"
SOUTH DAKOTA,46,GREGORY,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"208,369"
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,435
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, CROPLAND - ACRES",,"226,113"
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,396
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"191,649"
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,4
SOUTH DAKOTA,46,GREGORY,053,AG LAND,"AG LAND, IRRIGATED - ACRES",,297
