state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,293
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),14
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),32
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),29
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),11
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",197
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,157,670"
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,951"
SOUTH DAKOTA,46,HAAKON,055,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,033"
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,646,592"
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,923
SOUTH DAKOTA,46,HAAKON,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"75,497,000"
SOUTH DAKOTA,46,HAAKON,055,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"257,669"
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,239
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, CROPLAND - ACRES",,"323,940"
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,189
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"190,737"
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,2
SOUTH DAKOTA,46,HAAKON,055,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"77,337,000"
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"263,948"
SOUTH DAKOTA,46,HAAKON,055,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"25,569,000"
SOUTH DAKOTA,46,HAAKON,055,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"51,768,000"
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",34
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",4
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",23
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",33
SOUTH DAKOTA,46,HAAKON,055,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",163
SOUTH DAKOTA,46,HAAKON,055,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,246
