state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,476
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),26
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),106
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),117
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),67
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),74
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",86
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"310,025"
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,651
SOUTH DAKOTA,46,HAMLIN,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,167
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,557,064"
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,926"
SOUTH DAKOTA,46,HAMLIN,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"144,998,000"
SOUTH DAKOTA,46,HAMLIN,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"304,618"
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,419
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, CROPLAND - ACRES",,"249,634"
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,333
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"221,708"
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,24
SOUTH DAKOTA,46,HAMLIN,057,AG LAND,"AG LAND, IRRIGATED - ACRES",,"9,015"
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"179,768,000"
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"377,664"
SOUTH DAKOTA,46,HAMLIN,057,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"97,218,000"
SOUTH DAKOTA,46,HAMLIN,057,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"82,550,000"
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",140
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",31
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",32
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",31
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",31
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",22
SOUTH DAKOTA,46,HAMLIN,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",189
SOUTH DAKOTA,46,HAMLIN,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,330
SOUTH DAKOTA,46,HAMLIN,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,100,000"
SOUTH DAKOTA,46,HAMLIN,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,330
SOUTH DAKOTA,46,HAMLIN,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,328,000"
SOUTH DAKOTA,46,HAMLIN,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"151,888,000"
SOUTH DAKOTA,46,HAMLIN,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"319,093"
SOUTH DAKOTA,46,HAMLIN,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,476
SOUTH DAKOTA,46,HAMLIN,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"41,308,000"
SOUTH DAKOTA,46,HAMLIN,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"86,782"
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,195
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"50,007"
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,149
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"11,475"
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,23
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"8,471"
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,187
SOUTH DAKOTA,46,HAMLIN,057,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"27,196"
SOUTH DAKOTA,46,HAMLIN,057,HOGS,HOGS - OPERATIONS WITH INVENTORY,,14
SOUTH DAKOTA,46,HAMLIN,057,HOGS,HOGS - INVENTORY,,"15,841"
