state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,405
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),44
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),66
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),51
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),33
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",203
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"895,347"
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,211"
SOUTH DAKOTA,46,HAND,059,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,000"
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"4,545,489"
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,056"
SOUTH DAKOTA,46,HAND,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"184,854,000"
SOUTH DAKOTA,46,HAND,059,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"456,429"
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,363
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, CROPLAND - ACRES",,"578,039"
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,307
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"521,841"
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,11
SOUTH DAKOTA,46,HAND,059,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,605"
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"224,455,000"
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"554,210"
SOUTH DAKOTA,46,HAND,059,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"142,419,000"
SOUTH DAKOTA,46,HAND,059,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"82,036,000"
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",89
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",10
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",21
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",19
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",32
SOUTH DAKOTA,46,HAND,059,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",223
SOUTH DAKOTA,46,HAND,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,338
SOUTH DAKOTA,46,HAND,059,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"12,357,000"
