state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,333
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),13
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),48
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),53
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),68
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),62
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",89
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"270,935"
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,814
SOUTH DAKOTA,46,HANSON,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,400
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,516,095"
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,322"
SOUTH DAKOTA,46,HANSON,061,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"123,418,000"
SOUTH DAKOTA,46,HANSON,061,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"370,625"
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,303
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, CROPLAND - ACRES",,"225,992"
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,249
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"210,853"
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,7
SOUTH DAKOTA,46,HANSON,061,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,076"
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"132,793,000"
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"398,778"
SOUTH DAKOTA,46,HANSON,061,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"82,082,000"
SOUTH DAKOTA,46,HANSON,061,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"50,711,000"
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",79
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",13
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",21
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",22
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",20
SOUTH DAKOTA,46,HANSON,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",168
SOUTH DAKOTA,46,HANSON,061,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,254
SOUTH DAKOTA,46,HANSON,061,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,966,000"
SOUTH DAKOTA,46,HANSON,061,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,223
SOUTH DAKOTA,46,HANSON,061,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,389,000"
SOUTH DAKOTA,46,HANSON,061,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"108,876,000"
SOUTH DAKOTA,46,HANSON,061,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"326,954"
SOUTH DAKOTA,46,HANSON,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,333
SOUTH DAKOTA,46,HANSON,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"36,273,000"
SOUTH DAKOTA,46,HANSON,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"108,927"
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,148
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"29,462"
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,135
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"13,108"
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,9
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,723
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,141
SOUTH DAKOTA,46,HANSON,061,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"20,606"
SOUTH DAKOTA,46,HANSON,061,HOGS,HOGS - OPERATIONS WITH INVENTORY,,10
SOUTH DAKOTA,46,HANSON,061,HOGS,HOGS - INVENTORY,,"42,453"
SOUTH DAKOTA,46,HANSON,061,HOGS,HOGS - OPERATIONS WITH SALES,,11
SOUTH DAKOTA,46,HANSON,061,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"79,756"
SOUTH DAKOTA,46,HANSON,061,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,15
SOUTH DAKOTA,46,HANSON,061,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,728
SOUTH DAKOTA,46,HANSON,061,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,17
SOUTH DAKOTA,46,HANSON,061,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,633
SOUTH DAKOTA,46,HANSON,061,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
SOUTH DAKOTA,46,HANSON,061,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,187
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, GRAIN - ACRES HARVESTED",,"92,874"
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"14,188,421"
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,24
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, SILAGE - ACRES HARVESTED",,"2,446"
SOUTH DAKOTA,46,HANSON,061,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"31,995"
SOUTH DAKOTA,46,HANSON,061,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,19
SOUTH DAKOTA,46,HANSON,061,WHEAT,WHEAT - ACRES HARVESTED,,"3,579"
SOUTH DAKOTA,46,HANSON,061,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"212,259"
