state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,265
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),9
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),5
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),20
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",211
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,467,765"
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"5,539"
SOUTH DAKOTA,46,HARDING,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,700"
SOUTH DAKOTA,46,HARDING,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,683,948"
SOUTH DAKOTA,46,HARDING,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,665
SOUTH DAKOTA,46,HARDING,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"60,566,000"
