state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,315
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),58
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),61
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),41
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),21
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",119
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"435,033"
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,381"
SOUTH DAKOTA,46,HUGHES,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,341
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,611,187"
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,891"
SOUTH DAKOTA,46,HUGHES,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"83,676,000"
SOUTH DAKOTA,46,HUGHES,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"265,639"
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,236
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, CROPLAND - ACRES",,"262,987"
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,198
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"184,497"
SOUTH DAKOTA,46,HUGHES,065,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,27
