state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,775
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),44
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),193
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),154
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),120
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",147
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"455,628"
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,588
SOUTH DAKOTA,46,HUTCHINSON,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,237
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,642,567"
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,495"
SOUTH DAKOTA,46,HUTCHINSON,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"235,983,000"
SOUTH DAKOTA,46,HUTCHINSON,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"304,494"
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,700
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, CROPLAND - ACRES",,"363,750"
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,565
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"327,021"
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,35
SOUTH DAKOTA,46,HUTCHINSON,067,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,344"
SOUTH DAKOTA,46,HUTCHINSON,067,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"270,014,000"
SOUTH DAKOTA,46,HUTCHINSON,067,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"348,405"
