state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,244
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),28
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),41
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),50
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),53
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",68
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"341,627"
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,400"
SOUTH DAKOTA,46,JERAULD,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,478
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,348,353"
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,391"
SOUTH DAKOTA,46,JERAULD,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"92,312,000"
SOUTH DAKOTA,46,JERAULD,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"378,327"
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,210
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, CROPLAND - ACRES",,"219,801"
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,164
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"195,650"
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,10
SOUTH DAKOTA,46,JERAULD,073,AG LAND,"AG LAND, IRRIGATED - ACRES",,"3,022"
SOUTH DAKOTA,46,JERAULD,073,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"112,543,000"
SOUTH DAKOTA,46,JERAULD,073,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"461,244"
SOUTH DAKOTA,46,JERAULD,073,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"50,832,000"
SOUTH DAKOTA,46,JERAULD,073,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"61,711,000"
SOUTH DAKOTA,46,JERAULD,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,JERAULD,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",47
