state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,518
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),10
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),69
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),102
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),82
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),90
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",165
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"535,987"
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,035"
SOUTH DAKOTA,46,KINGSBURY,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
SOUTH DAKOTA,46,KINGSBURY,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,941,833"
SOUTH DAKOTA,46,KINGSBURY,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,810"
SOUTH DAKOTA,46,KINGSBURY,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"190,393,000"
SOUTH DAKOTA,46,KINGSBURY,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"367,554"
SOUTH DAKOTA,46,KINGSBURY,077,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,479
