state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,463
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),24
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),100
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),103
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),88
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",90
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"272,529"
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,589
SOUTH DAKOTA,46,LAKE,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,180
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,014,550"
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,121"
SOUTH DAKOTA,46,LAKE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"138,593,000"
SOUTH DAKOTA,46,LAKE,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"299,337"
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,408
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, CROPLAND - ACRES",,"225,644"
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,344
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"203,422"
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,13
SOUTH DAKOTA,46,LAKE,079,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,181"
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"161,876,000"
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"349,624"
SOUTH DAKOTA,46,LAKE,079,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"99,465,000"
SOUTH DAKOTA,46,LAKE,079,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"62,411,000"
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",115
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",36
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",21
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",27
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",25
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",50
SOUTH DAKOTA,46,LAKE,079,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",189
SOUTH DAKOTA,46,LAKE,079,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,353
SOUTH DAKOTA,46,LAKE,079,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,755,000"
SOUTH DAKOTA,46,LAKE,079,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,318
SOUTH DAKOTA,46,LAKE,079,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,423,000"
SOUTH DAKOTA,46,LAKE,079,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"132,095,000"
SOUTH DAKOTA,46,LAKE,079,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"285,303"
SOUTH DAKOTA,46,LAKE,079,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,463
SOUTH DAKOTA,46,LAKE,079,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"38,958,000"
SOUTH DAKOTA,46,LAKE,079,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"84,143"
SOUTH DAKOTA,46,LAKE,079,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,166
SOUTH DAKOTA,46,LAKE,079,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"30,914"
