state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,275
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),19
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),64
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),102
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),38
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",40
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"165,012"
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,600
SOUTH DAKOTA,46,LAWRENCE,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,84
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,073,421"
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,789"
SOUTH DAKOTA,46,LAWRENCE,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"28,439,000"
SOUTH DAKOTA,46,LAWRENCE,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"103,416"
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,211
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, CROPLAND - ACRES",,"33,608"
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,189
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"23,023"
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,53
SOUTH DAKOTA,46,LAWRENCE,081,AG LAND,"AG LAND, IRRIGATED - ACRES",,"4,443"
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"13,083,000"
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"47,575"
SOUTH DAKOTA,46,LAWRENCE,081,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"1,936,000"
SOUTH DAKOTA,46,LAWRENCE,081,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"11,147,000"
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",106
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",37
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",23
SOUTH DAKOTA,46,LAWRENCE,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",25
