state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,756
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),70
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),203
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),167
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),141
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),84
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",91
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"294,694"
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,390
SOUTH DAKOTA,46,LINCOLN,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,140
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,692,014"
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"6,906"
SOUTH DAKOTA,46,LINCOLN,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"143,605,000"
SOUTH DAKOTA,46,LINCOLN,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"189,954"
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,664
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, CROPLAND - ACRES",,"267,866"
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,575
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"252,973"
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,24
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,123"
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"204,790,000"
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"270,887"
SOUTH DAKOTA,46,LINCOLN,083,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"122,460,000"
SOUTH DAKOTA,46,LINCOLN,083,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"82,330,000"
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",220
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",48
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",31
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",58
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",77
SOUTH DAKOTA,46,LINCOLN,083,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",297
SOUTH DAKOTA,46,LINCOLN,083,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,529
SOUTH DAKOTA,46,LINCOLN,083,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,210,000"
SOUTH DAKOTA,46,LINCOLN,083,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,469
SOUTH DAKOTA,46,LINCOLN,083,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,948,000"
SOUTH DAKOTA,46,LINCOLN,083,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"173,361,000"
SOUTH DAKOTA,46,LINCOLN,083,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"229,314"
SOUTH DAKOTA,46,LINCOLN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,756
SOUTH DAKOTA,46,LINCOLN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"48,587,000"
SOUTH DAKOTA,46,LINCOLN,083,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"64,269"
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,199
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"36,494"
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,157
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"4,955"
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,9
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"5,728"
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,185
SOUTH DAKOTA,46,LINCOLN,083,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"29,568"
SOUTH DAKOTA,46,LINCOLN,083,HOGS,HOGS - OPERATIONS WITH INVENTORY,,22
SOUTH DAKOTA,46,LINCOLN,083,HOGS,HOGS - INVENTORY,,"40,388"
SOUTH DAKOTA,46,LINCOLN,083,HOGS,HOGS - OPERATIONS WITH SALES,,26
SOUTH DAKOTA,46,LINCOLN,083,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"114,459"
SOUTH DAKOTA,46,LINCOLN,083,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,25
SOUTH DAKOTA,46,LINCOLN,083,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"3,269"
SOUTH DAKOTA,46,LINCOLN,083,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,62
SOUTH DAKOTA,46,LINCOLN,083,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"1,803"
SOUTH DAKOTA,46,LINCOLN,083,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,1
SOUTH DAKOTA,46,LINCOLN,083,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,366
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, GRAIN - ACRES HARVESTED",,"118,690"
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"20,101,014"
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,53
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, SILAGE - ACRES HARVESTED",,"4,872"
SOUTH DAKOTA,46,LINCOLN,083,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"107,943"
SOUTH DAKOTA,46,LINCOLN,083,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,8
SOUTH DAKOTA,46,LINCOLN,083,OATS,OATS - ACRES HARVESTED,,274
SOUTH DAKOTA,46,LINCOLN,083,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"20,330"
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,6
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,300
SOUTH DAKOTA,46,LINCOLN,083,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"6,000"
SOUTH DAKOTA,46,LINCOLN,083,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,387
SOUTH DAKOTA,46,LINCOLN,083,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"120,091"
SOUTH DAKOTA,46,LINCOLN,083,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"6,019,133"
SOUTH DAKOTA,46,LINCOLN,083,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,264
SOUTH DAKOTA,46,LINCOLN,083,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"8,325"
SOUTH DAKOTA,46,LINCOLN,083,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"25,754"
SOUTH DAKOTA,46,LINCOLN,083,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,16
SOUTH DAKOTA,46,LINCOLN,083,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,42
SOUTH DAKOTA,46,LINCOLN,083,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,2
SOUTH DAKOTA,46,LINCOLN,083,POTATOES,POTATOES - ACRES HARVESTED,,(D)
SOUTH DAKOTA,46,LINCOLN,083,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,2
SOUTH DAKOTA,46,LINCOLN,083,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
SOUTH DAKOTA,46,LINCOLN,083,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,756
