state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,414
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),19
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),76
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),72
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),65
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",180
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"950,795"
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,297"
SOUTH DAKOTA,46,LYMAN,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,735
SOUTH DAKOTA,46,LYMAN,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,792,074"
SOUTH DAKOTA,46,LYMAN,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,651"
SOUTH DAKOTA,46,LYMAN,085,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"124,497,000"
