state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,503
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),13
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),51
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),121
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),112
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),70
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",136
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"525,474"
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,045"
SOUTH DAKOTA,46,MARSHALL,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,338
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,939,925"
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,814"
SOUTH DAKOTA,46,MARSHALL,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"161,684,000"
SOUTH DAKOTA,46,MARSHALL,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"321,438"
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,448
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, CROPLAND - ACRES",,"343,430"
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,330
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"278,897"
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,9
SOUTH DAKOTA,46,MARSHALL,091,AG LAND,"AG LAND, IRRIGATED - ACRES",,716
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"270,689,000"
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"538,148"
SOUTH DAKOTA,46,MARSHALL,091,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"107,979,000"
SOUTH DAKOTA,46,MARSHALL,091,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"162,709,000"
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",168
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",17
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",46
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",22
SOUTH DAKOTA,46,MARSHALL,091,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",38
