state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,512
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),29
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),89
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),112
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),63
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),85
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",134
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"367,087"
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,717
SOUTH DAKOTA,46,MCCOOK,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,312
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,131,091"
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,367"
SOUTH DAKOTA,46,MCCOOK,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"138,758,000"
SOUTH DAKOTA,46,MCCOOK,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"271,011"
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,459
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, CROPLAND - ACRES",,"294,253"
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,359
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"271,326"
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,5
SOUTH DAKOTA,46,MCCOOK,087,AG LAND,"AG LAND, IRRIGATED - ACRES",,39
SOUTH DAKOTA,46,MCCOOK,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"195,940,000"
SOUTH DAKOTA,46,MCCOOK,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"382,695"
SOUTH DAKOTA,46,MCCOOK,087,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"122,696,000"
SOUTH DAKOTA,46,MCCOOK,087,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"73,244,000"
SOUTH DAKOTA,46,MCCOOK,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,MCCOOK,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",134
SOUTH DAKOTA,46,MCCOOK,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",22
