state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,835
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),49
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),153
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),75
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),71
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",370
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,998,775"
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,394"
SOUTH DAKOTA,46,MEADE,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,640
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,277,231"
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,951
SOUTH DAKOTA,46,MEADE,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"141,118,000"
SOUTH DAKOTA,46,MEADE,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"169,003"
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,565
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, CROPLAND - ACRES",,"394,758"
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,460
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"204,457"
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,46
SOUTH DAKOTA,46,MEADE,093,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,298"
SOUTH DAKOTA,46,MEADE,093,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"99,167,000"
