state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,219
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),3
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),28
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),23
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),23
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",142
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"752,566"
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,436"
SOUTH DAKOTA,46,MELLETTE,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,285"
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,314,464"
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,965
SOUTH DAKOTA,46,MELLETTE,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"47,348,000"
SOUTH DAKOTA,46,MELLETTE,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"216,199"
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,164
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, CROPLAND - ACRES",,"131,081"
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,159
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"111,439"
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,8
SOUTH DAKOTA,46,MELLETTE,095,AG LAND,"AG LAND, IRRIGATED - ACRES",,665
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"45,422,000"
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"207,408"
SOUTH DAKOTA,46,MELLETTE,095,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,380,000"
SOUTH DAKOTA,46,MELLETTE,095,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"37,043,000"
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",26
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",3
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",20
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",42
SOUTH DAKOTA,46,MELLETTE,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",117
SOUTH DAKOTA,46,MELLETTE,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,170
SOUTH DAKOTA,46,MELLETTE,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,321,000"
SOUTH DAKOTA,46,MELLETTE,095,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,144
