state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,408
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),50
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),93
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),103
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),41
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",106
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"351,356"
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,861
SOUTH DAKOTA,46,MINER,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,300
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,042,444"
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,533"
SOUTH DAKOTA,46,MINER,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"97,522,000"
SOUTH DAKOTA,46,MINER,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"239,023"
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,365
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, CROPLAND - ACRES",,"239,830"
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,263
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"205,109"
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,2
SOUTH DAKOTA,46,MINER,097,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"126,057,000"
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"308,964"
SOUTH DAKOTA,46,MINER,097,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"71,351,000"
SOUTH DAKOTA,46,MINER,097,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"54,706,000"
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",126
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",20
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",16
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",43
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",20
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",37
SOUTH DAKOTA,46,MINER,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",146
SOUTH DAKOTA,46,MINER,097,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,323
SOUTH DAKOTA,46,MINER,097,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,404,000"
SOUTH DAKOTA,46,MINER,097,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,287
SOUTH DAKOTA,46,MINER,097,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,634,000"
SOUTH DAKOTA,46,MINER,097,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"105,340,000"
SOUTH DAKOTA,46,MINER,097,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"258,186"
SOUTH DAKOTA,46,MINER,097,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,408
SOUTH DAKOTA,46,MINER,097,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"34,756,000"
SOUTH DAKOTA,46,MINER,097,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"85,185"
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,172
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"47,513"
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,161
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,167
SOUTH DAKOTA,46,MINER,097,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"34,570"
SOUTH DAKOTA,46,MINER,097,HOGS,HOGS - OPERATIONS WITH INVENTORY,,8
SOUTH DAKOTA,46,MINER,097,HOGS,HOGS - INVENTORY,,"26,714"
SOUTH DAKOTA,46,MINER,097,HOGS,HOGS - OPERATIONS WITH SALES,,10
SOUTH DAKOTA,46,MINER,097,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"56,258"
SOUTH DAKOTA,46,MINER,097,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,16
SOUTH DAKOTA,46,MINER,097,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,711"
SOUTH DAKOTA,46,MINER,097,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,8
SOUTH DAKOTA,46,MINER,097,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,168
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, GRAIN - ACRES HARVESTED",,"78,514"
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"12,031,247"
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,41
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, SILAGE - ACRES HARVESTED",,"3,905"
SOUTH DAKOTA,46,MINER,097,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"53,872"
SOUTH DAKOTA,46,MINER,097,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,28
SOUTH DAKOTA,46,MINER,097,WHEAT,WHEAT - ACRES HARVESTED,,"13,581"
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"774,056"
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,8
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"1,171"
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"69,836"
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,26
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"12,410"
SOUTH DAKOTA,46,MINER,097,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"704,220"
SOUTH DAKOTA,46,MINER,097,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,12
SOUTH DAKOTA,46,MINER,097,OATS,OATS - ACRES HARVESTED,,498
SOUTH DAKOTA,46,MINER,097,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"41,898"
SOUTH DAKOTA,46,MINER,097,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,MINER,097,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,MINER,097,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
SOUTH DAKOTA,46,MINER,097,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,160
SOUTH DAKOTA,46,MINER,097,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"86,163"
SOUTH DAKOTA,46,MINER,097,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,159,990"
SOUTH DAKOTA,46,MINER,097,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,178
SOUTH DAKOTA,46,MINER,097,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"21,813"
SOUTH DAKOTA,46,MINER,097,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"49,442"
SOUTH DAKOTA,46,MINER,097,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,MINER,097,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,MINER,097,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,2
