state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,023"
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),101
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),330
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),214
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),151
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),110
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",117
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"374,666"
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,366
SOUTH DAKOTA,46,MINNEHAHA,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,79
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,362,080"
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"6,449"
SOUTH DAKOTA,46,MINNEHAHA,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"237,885,000"
SOUTH DAKOTA,46,MINNEHAHA,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"232,537"
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,860
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, CROPLAND - ACRES",,"317,964"
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,793
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"301,993"
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,46
SOUTH DAKOTA,46,MINNEHAHA,099,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,239"
SOUTH DAKOTA,46,MINNEHAHA,099,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"253,779,000"
