state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,490
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),48
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),97
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),91
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",79
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"265,024"
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,541
SOUTH DAKOTA,46,MOODY,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,160
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,147,674"
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,820"
SOUTH DAKOTA,46,MOODY,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"145,170,000"
SOUTH DAKOTA,46,MOODY,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"296,266"
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,407
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, CROPLAND - ACRES",,"223,522"
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,314
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"210,670"
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
SOUTH DAKOTA,46,MOODY,101,AG LAND,"AG LAND, IRRIGATED - ACRES",,"3,286"
SOUTH DAKOTA,46,MOODY,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"216,079,000"
SOUTH DAKOTA,46,MOODY,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"440,977"
SOUTH DAKOTA,46,MOODY,101,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"103,345,000"
SOUTH DAKOTA,46,MOODY,101,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"112,733,000"
