state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,190
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),7
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),34
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),34
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),11
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",104
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,116,156"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"5,875"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,430"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,960,426"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,674
SOUTH DAKOTA,46,OGLALA LAKOTA,102,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"27,991,000"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"147,320"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,94
SOUTH DAKOTA,46,OGLALA LAKOTA,102,AG LAND,"AG LAND, CROPLAND - ACRES",,"88,929"
SOUTH DAKOTA,46,OGLALA LAKOTA,102,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,77
