state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,656
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),34
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),125
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),163
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),104
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),44
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",186
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,146,586"
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,748"
SOUTH DAKOTA,46,PENNINGTON,103,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,200
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,849,403"
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,058"
SOUTH DAKOTA,46,PENNINGTON,103,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"82,768,000"
SOUTH DAKOTA,46,PENNINGTON,103,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"126,171"
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,417
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, CROPLAND - ACRES",,"207,236"
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,324
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"124,052"
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,86
SOUTH DAKOTA,46,PENNINGTON,103,AG LAND,"AG LAND, IRRIGATED - ACRES",,"10,653"
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"60,454,000"
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"92,156"
SOUTH DAKOTA,46,PENNINGTON,103,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"16,957,000"
SOUTH DAKOTA,46,PENNINGTON,103,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"43,497,000"
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",221
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",51
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",42
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",94
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",37
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",67
SOUTH DAKOTA,46,PENNINGTON,103,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",144
SOUTH DAKOTA,46,PENNINGTON,103,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,280
SOUTH DAKOTA,46,PENNINGTON,103,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"6,415,000"
SOUTH DAKOTA,46,PENNINGTON,103,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,282
SOUTH DAKOTA,46,PENNINGTON,103,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,316,000"
SOUTH DAKOTA,46,PENNINGTON,103,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"59,679,000"
SOUTH DAKOTA,46,PENNINGTON,103,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"90,975"
