state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,421
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),17
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),40
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),49
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),33
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",274
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,639,705"
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,895"
SOUTH DAKOTA,46,PERKINS,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"2,705"
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,236,529"
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,831
SOUTH DAKOTA,46,PERKINS,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"98,069,000"
SOUTH DAKOTA,46,PERKINS,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"232,943"
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,343
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, CROPLAND - ACRES",,"347,672"
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,259
SOUTH DAKOTA,46,PERKINS,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"177,102"
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"84,893,000"
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"201,646"
SOUTH DAKOTA,46,PERKINS,105,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"12,404,000"
SOUTH DAKOTA,46,PERKINS,105,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"72,489,000"
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",70
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",22
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",29
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",38
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",22
SOUTH DAKOTA,46,PERKINS,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",215
SOUTH DAKOTA,46,PERKINS,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,336
SOUTH DAKOTA,46,PERKINS,105,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"9,976,000"
SOUTH DAKOTA,46,PERKINS,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,266
SOUTH DAKOTA,46,PERKINS,105,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,486,000"
SOUTH DAKOTA,46,PERKINS,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"78,142,000"
SOUTH DAKOTA,46,PERKINS,105,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"185,612"
SOUTH DAKOTA,46,PERKINS,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,421
SOUTH DAKOTA,46,PERKINS,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"24,213,000"
SOUTH DAKOTA,46,PERKINS,105,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"57,513"
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,288
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"112,752"
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,286
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"63,816"
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,11
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,15
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,284
SOUTH DAKOTA,46,PERKINS,105,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"67,687"
SOUTH DAKOTA,46,PERKINS,105,HOGS,HOGS - OPERATIONS WITH INVENTORY,,1
SOUTH DAKOTA,46,PERKINS,105,HOGS,HOGS - INVENTORY,,(D)
SOUTH DAKOTA,46,PERKINS,105,HOGS,HOGS - OPERATIONS WITH SALES,,1
SOUTH DAKOTA,46,PERKINS,105,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,PERKINS,105,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,33
