state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,221
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),10
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),35
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),23
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),42
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",109
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"548,312"
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,481"
SOUTH DAKOTA,46,POTTER,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,965
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"5,246,162"
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,114"
SOUTH DAKOTA,46,POTTER,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"120,699,000"
SOUTH DAKOTA,46,POTTER,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"546,151"
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,205
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, CROPLAND - ACRES",,"386,454"
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,162
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"330,022"
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,6
SOUTH DAKOTA,46,POTTER,107,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,624"
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"101,891,000"
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"461,045"
SOUTH DAKOTA,46,POTTER,107,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"83,510,000"
SOUTH DAKOTA,46,POTTER,107,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"18,381,000"
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",52
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",15
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",8
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",23
SOUTH DAKOTA,46,POTTER,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",121
SOUTH DAKOTA,46,POTTER,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,204
SOUTH DAKOTA,46,POTTER,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,893,000"
SOUTH DAKOTA,46,POTTER,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,165
SOUTH DAKOTA,46,POTTER,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"9,398,000"
SOUTH DAKOTA,46,POTTER,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"117,052,000"
SOUTH DAKOTA,46,POTTER,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"529,648"
SOUTH DAKOTA,46,POTTER,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,221
SOUTH DAKOTA,46,POTTER,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"2,129,000"
