state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,782
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),24
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),93
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),188
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),186
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),94
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",197
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"595,195"
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,761
SOUTH DAKOTA,46,ROBERTS,109,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,291
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,288,827"
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,007"
SOUTH DAKOTA,46,ROBERTS,109,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"203,891,000"
SOUTH DAKOTA,46,ROBERTS,109,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"260,731"
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,686
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, CROPLAND - ACRES",,"451,658"
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,540
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"400,198"
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,21
SOUTH DAKOTA,46,ROBERTS,109,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,390"
SOUTH DAKOTA,46,ROBERTS,109,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"204,389,000"
SOUTH DAKOTA,46,ROBERTS,109,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"261,366"
