state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,351
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),33
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),89
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),64
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),44
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",110
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"363,599"
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,036"
SOUTH DAKOTA,46,SANBORN,111,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,399
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,959,610"
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,857"
SOUTH DAKOTA,46,SANBORN,111,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"93,078,000"
SOUTH DAKOTA,46,SANBORN,111,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"265,179"
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,320
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, CROPLAND - ACRES",,"200,379"
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,247
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"160,213"
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,3
SOUTH DAKOTA,46,SANBORN,111,AG LAND,"AG LAND, IRRIGATED - ACRES",,9
SOUTH DAKOTA,46,SANBORN,111,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"112,061,000"
SOUTH DAKOTA,46,SANBORN,111,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"319,263"
SOUTH DAKOTA,46,SANBORN,111,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"52,001,000"
SOUTH DAKOTA,46,SANBORN,111,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"60,060,000"
