state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,556
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),13
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),46
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),93
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),76
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),59
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",269
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"961,154"
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,729"
SOUTH DAKOTA,46,SPINK,115,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,960
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"5,413,741"
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,132"
SOUTH DAKOTA,46,SPINK,115,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"283,594,000"
SOUTH DAKOTA,46,SPINK,115,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"510,061"
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,526
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, CROPLAND - ACRES",,"832,799"
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,432
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"761,144"
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,47
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, IRRIGATED - ACRES",,"22,260"
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"382,482,000"
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"687,916"
SOUTH DAKOTA,46,SPINK,115,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"281,707,000"
SOUTH DAKOTA,46,SPINK,115,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"100,775,000"
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",109
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",3
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",22
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",29
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",27
SOUTH DAKOTA,46,SPINK,115,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",337
SOUTH DAKOTA,46,SPINK,115,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,498
SOUTH DAKOTA,46,SPINK,115,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"20,072,000"
SOUTH DAKOTA,46,SPINK,115,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,424
SOUTH DAKOTA,46,SPINK,115,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"17,759,000"
SOUTH DAKOTA,46,SPINK,115,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"298,356,000"
SOUTH DAKOTA,46,SPINK,115,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"536,612"
SOUTH DAKOTA,46,SPINK,115,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,556
SOUTH DAKOTA,46,SPINK,115,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"121,956,000"
SOUTH DAKOTA,46,SPINK,115,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"219,346"
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,185
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"75,707"
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,162
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"22,295"
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,90
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,183
SOUTH DAKOTA,46,SPINK,115,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"65,340"
SOUTH DAKOTA,46,SPINK,115,HOGS,HOGS - OPERATIONS WITH INVENTORY,,13
SOUTH DAKOTA,46,SPINK,115,HOGS,HOGS - INVENTORY,,"36,328"
SOUTH DAKOTA,46,SPINK,115,HOGS,HOGS - OPERATIONS WITH SALES,,13
SOUTH DAKOTA,46,SPINK,115,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"56,327"
SOUTH DAKOTA,46,SPINK,115,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,16
SOUTH DAKOTA,46,SPINK,115,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,319"
SOUTH DAKOTA,46,SPINK,115,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,6
SOUTH DAKOTA,46,SPINK,115,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,172
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,338
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, GRAIN - ACRES HARVESTED",,"276,984"
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"41,757,839"
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,63
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, SILAGE - ACRES HARVESTED",,"8,933"
SOUTH DAKOTA,46,SPINK,115,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"118,791"
SOUTH DAKOTA,46,SPINK,115,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,95
SOUTH DAKOTA,46,SPINK,115,WHEAT,WHEAT - ACRES HARVESTED,,"37,204"
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,424,109"
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,90
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"33,747"
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"1,262,714"
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,16
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"3,457"
SOUTH DAKOTA,46,SPINK,115,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"161,395"
SOUTH DAKOTA,46,SPINK,115,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,5
SOUTH DAKOTA,46,SPINK,115,OATS,OATS - ACRES HARVESTED,,418
SOUTH DAKOTA,46,SPINK,115,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"18,712"
SOUTH DAKOTA,46,SPINK,115,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,4
SOUTH DAKOTA,46,SPINK,115,BARLEY,BARLEY - ACRES HARVESTED,,941
SOUTH DAKOTA,46,SPINK,115,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"49,011"
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,2
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,4
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,301
SOUTH DAKOTA,46,SPINK,115,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"2,929"
SOUTH DAKOTA,46,SPINK,115,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,366
SOUTH DAKOTA,46,SPINK,115,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"399,152"
SOUTH DAKOTA,46,SPINK,115,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"16,178,741"
SOUTH DAKOTA,46,SPINK,115,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,221
SOUTH DAKOTA,46,SPINK,115,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"32,546"
SOUTH DAKOTA,46,SPINK,115,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"66,907"
SOUTH DAKOTA,46,SPINK,115,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,16
SOUTH DAKOTA,46,SPINK,115,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"4,173"
SOUTH DAKOTA,46,SPINK,115,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"9,123,948"
SOUTH DAKOTA,46,SPINK,115,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,3
SOUTH DAKOTA,46,SPINK,115,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,99
SOUTH DAKOTA,46,SPINK,115,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,556
