state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,172
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),11
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),11
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),25
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),19
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",102
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"812,145"
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,722"
SOUTH DAKOTA,46,STANLEY,117,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,407"
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"4,349,277"
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,921
SOUTH DAKOTA,46,STANLEY,117,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"41,492,000"
SOUTH DAKOTA,46,STANLEY,117,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"241,233"
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,129
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, CROPLAND - ACRES",,"195,706"
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,103
SOUTH DAKOTA,46,STANLEY,117,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"129,496"
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"50,611,000"
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"294,253"
SOUTH DAKOTA,46,STANLEY,117,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"18,062,000"
SOUTH DAKOTA,46,STANLEY,117,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"32,550,000"
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",37
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",7
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",8
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",18
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",12
SOUTH DAKOTA,46,STANLEY,117,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",79
SOUTH DAKOTA,46,STANLEY,117,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,132
SOUTH DAKOTA,46,STANLEY,117,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,863,000"
SOUTH DAKOTA,46,STANLEY,117,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,101
SOUTH DAKOTA,46,STANLEY,117,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,868,000"
SOUTH DAKOTA,46,STANLEY,117,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"40,026,000"
SOUTH DAKOTA,46,STANLEY,117,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"232,710"
SOUTH DAKOTA,46,STANLEY,117,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,172
SOUTH DAKOTA,46,STANLEY,117,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"18,317,000"
SOUTH DAKOTA,46,STANLEY,117,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"106,493"
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,102
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"28,854"
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,98
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"18,659"
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,7
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,33
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,110
SOUTH DAKOTA,46,STANLEY,117,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"25,428"
SOUTH DAKOTA,46,STANLEY,117,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
SOUTH DAKOTA,46,STANLEY,117,HOGS,HOGS - INVENTORY,,190
SOUTH DAKOTA,46,STANLEY,117,HOGS,HOGS - OPERATIONS WITH SALES,,3
SOUTH DAKOTA,46,STANLEY,117,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,STANLEY,117,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,2
SOUTH DAKOTA,46,STANLEY,117,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
SOUTH DAKOTA,46,STANLEY,117,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,10
SOUTH DAKOTA,46,STANLEY,117,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,374
SOUTH DAKOTA,46,STANLEY,117,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,2
SOUTH DAKOTA,46,STANLEY,117,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,17
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, GRAIN - ACRES HARVESTED",,"13,125"
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"898,561"
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,4
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, SILAGE - ACRES HARVESTED",,940
SOUTH DAKOTA,46,STANLEY,117,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"3,350"
SOUTH DAKOTA,46,STANLEY,117,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,28
SOUTH DAKOTA,46,STANLEY,117,WHEAT,WHEAT - ACRES HARVESTED,,"41,997"
SOUTH DAKOTA,46,STANLEY,117,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"1,124,742"
