state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,201
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),18
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),33
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),21
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),21
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",106
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"632,859"
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,149"
SOUTH DAKOTA,46,SULLY,119,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,250"
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"6,783,106"
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,154"
SOUTH DAKOTA,46,SULLY,119,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"123,021,000"
SOUTH DAKOTA,46,SULLY,119,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"612,046"
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,168
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, CROPLAND - ACRES",,"505,654"
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,144
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"376,872"
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,9
SOUTH DAKOTA,46,SULLY,119,AG LAND,"AG LAND, IRRIGATED - ACRES",,"23,669"
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"137,239,000"
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"682,779"
SOUTH DAKOTA,46,SULLY,119,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"101,848,000"
SOUTH DAKOTA,46,SULLY,119,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"35,391,000"
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",37
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",14
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",9
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",5
SOUTH DAKOTA,46,SULLY,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",124
SOUTH DAKOTA,46,SULLY,119,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,161
SOUTH DAKOTA,46,SULLY,119,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"10,351,000"
SOUTH DAKOTA,46,SULLY,119,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,138
SOUTH DAKOTA,46,SULLY,119,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"13,629,000"
SOUTH DAKOTA,46,SULLY,119,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"140,854,000"
SOUTH DAKOTA,46,SULLY,119,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"700,768"
SOUTH DAKOTA,46,SULLY,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,201
SOUTH DAKOTA,46,SULLY,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"20,364,000"
SOUTH DAKOTA,46,SULLY,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"101,314"
SOUTH DAKOTA,46,SULLY,119,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,60
SOUTH DAKOTA,46,SULLY,119,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"30,153"
SOUTH DAKOTA,46,SULLY,119,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,45
SOUTH DAKOTA,46,SULLY,119,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"9,469"
SOUTH DAKOTA,46,SULLY,119,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,57
