state,state fips,county,county code,commodity,data item,domain category,value
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,223
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),2
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),6
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),21
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),39
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),24
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",131
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"880,043"
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,946"
SOUTH DAKOTA,46,TODD,121,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,640"
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,355,405"
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,850
SOUTH DAKOTA,46,TODD,121,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"56,846,000"
SOUTH DAKOTA,46,TODD,121,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"254,915"
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,157
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, CROPLAND - ACRES",,"113,678"
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,151
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"96,762"
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,26
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, IRRIGATED - ACRES",,"7,801"
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"53,659,000"
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"240,621"
SOUTH DAKOTA,46,TODD,121,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"6,130,000"
SOUTH DAKOTA,46,TODD,121,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"47,528,000"
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",31
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",2
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",29
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",30
SOUTH DAKOTA,46,TODD,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",104
SOUTH DAKOTA,46,TODD,121,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,127
SOUTH DAKOTA,46,TODD,121,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"686,000"
SOUTH DAKOTA,46,TODD,121,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,129
SOUTH DAKOTA,46,TODD,121,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,388,000"
SOUTH DAKOTA,46,TODD,121,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"49,547,000"
SOUTH DAKOTA,46,TODD,121,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"222,185"
SOUTH DAKOTA,46,TODD,121,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,223
SOUTH DAKOTA,46,TODD,121,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"12,185,000"
SOUTH DAKOTA,46,TODD,121,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"54,643"
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,169
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"69,062"
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,161
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"37,202"
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,12
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,164
SOUTH DAKOTA,46,TODD,121,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"39,467"
SOUTH DAKOTA,46,TODD,121,HOGS,HOGS - OPERATIONS WITH INVENTORY,,8
SOUTH DAKOTA,46,TODD,121,HOGS,HOGS - INVENTORY,,65
SOUTH DAKOTA,46,TODD,121,HOGS,HOGS - OPERATIONS WITH SALES,,7
SOUTH DAKOTA,46,TODD,121,HOGS,"HOGS - SALES, MEASURED IN HEAD",,72
SOUTH DAKOTA,46,TODD,121,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,8
SOUTH DAKOTA,46,TODD,121,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,325
SOUTH DAKOTA,46,TODD,121,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,19
SOUTH DAKOTA,46,TODD,121,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,326
SOUTH DAKOTA,46,TODD,121,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,7
SOUTH DAKOTA,46,TODD,121,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,601
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,45
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, GRAIN - ACRES HARVESTED",,"5,530"
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"625,622"
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,26
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, SILAGE - ACRES HARVESTED",,"2,250"
SOUTH DAKOTA,46,TODD,121,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"17,243"
SOUTH DAKOTA,46,TODD,121,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,16
SOUTH DAKOTA,46,TODD,121,WHEAT,WHEAT - ACRES HARVESTED,,"5,012"
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"166,593"
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,6
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"1,985"
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"52,910"
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,15
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"3,027"
SOUTH DAKOTA,46,TODD,121,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"113,683"
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,7
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,370
SOUTH DAKOTA,46,TODD,121,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"2,100"
SOUTH DAKOTA,46,TODD,121,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,6
SOUTH DAKOTA,46,TODD,121,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"2,838"
SOUTH DAKOTA,46,TODD,121,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"93,520"
SOUTH DAKOTA,46,TODD,121,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,148
SOUTH DAKOTA,46,TODD,121,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"74,950"
SOUTH DAKOTA,46,TODD,121,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"87,898"
SOUTH DAKOTA,46,TODD,121,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,14
SOUTH DAKOTA,46,TODD,121,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"5,237"
SOUTH DAKOTA,46,TODD,121,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"7,257,392"
SOUTH DAKOTA,46,TODD,121,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
SOUTH DAKOTA,46,TODD,121,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
SOUTH DAKOTA,46,TODD,121,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,223
